word,sessions,clients
អនុវត្ត,1469,788
សំណើ,1360,829
អាសយដ្ឋាន,1300,423
អភិវឌ្ឍ,1247,911
ការ,1199,678
សិទ្ធិ,1058,434
ព័ត៌មាន,1052,780
នឹង,917,673
ដែល,874,637
សមត្ថភាព,867,637
អនុញ្ញាត,821,578
ពីរ,802,211
ស្ដង់ដា,795,481
ដំឡើង,794,488
សម្ភារ,784,488
លក្ខខណ្ឌ,781,540
ខ្សែ,779,311
មោទនភាព,755,369
តុក្កតា,750,50
ទូរសព្ទ,731,454
ទុរគត,731,69
ឱ្យ,720,478
ផ្ញើ,716,515
អភិវឌ្ឍន៍,710,522
គួរ,708,293
តួអង្គ,669,61
សម្ភារៈ,668,459
និង,666,480
វឌ្ឍនភាព,663,463
ស្នើ,662,479
បង្ក,656,464
សីលធម៌,655,505
ខ្មែរ,645,196
ប្រសិទ្ធភាព,642,451
សំឡេង,625,387
សន្តិភាព,625,449
ចម្ការ,622,129
បង្គុំ,622,54
អគារ,619,390
សហការ,603,419
ឧបត្ថម្ភ,598,457
សហគមន៍,580,440
សេដ្ឋកិច្ច,577,420
គំរូ,577,371
ថវិកា,576,419
សម្រាប់,569,405
មនុស្ស,557,259
កិត្តិយស,534,396
ចីរភាព,533,379
ដំណើរ,529,392
ញ៉ាំ,528,337
ពិសា,526,319
មេត្តា,526,375
វិក្កយបត្រ,519,327
បុគ្គលិក,519,217
ប្រព្រឹត្ត,518,392
តម្លៃ,515,382
មាន,513,395
កាតព្វកិច្ច,497,369
ស្មើ,495,325
អារម្មណ៍,482,364
គូរ,482,232
អនុវត្តន៍,480,344
សមរម្យ,473,337
កម្សាន្ត,472,331
គុណ,471,394
ចិត្ត,467,378
កេរ,466,300
លម្អ,464,304
ផ្សារ,464,332
ផ្សា,458,305
ប្រយោជន៍,457,361
និរន្តរភាព,457,289
ចរចា,455,282
សុភមង្គល,453,372
អនាគត,451,322
ប្រសើរ,447,305
ចរាចរណ៍,446,171
អាហារ,441,246
បម្រើ,439,189
សូចនាករ,438,310
បច្ចុប្បន្ន,435,341
ស្ថាប័ន,435,321
ឥរិយាបថ,435,337
សិក្សា,427,314
ពាក្យ,426,314
កម្រិត,426,279
តស់,423,305
ជីវភាព,423,338
ប្រណីត,419,229
សុចរិត,415,359
សោភណភាព,415,204
នវានុវត្តន៍,415,233
ទេសចរ,412,274
មនសិការ,409,337
ឱកាស,407,260
ជំរុញ,407,260
បទពិសោធន៍,407,290
សាមគ្គី,405,313
រយះ,403,78
អក្សរ,403,294
បរិយាបន្ន,403,313
ចរិត,403,258
សព្វ,401,304
ក្លិន,398,152
សេចក្ដី,395,326
ឧបសគ្គ,395,308
អគ្គិសនី,394,245
បទពិសោធ,389,216
សម្រេច,389,260
ប្រតិបត្តិ,388,280
រក្សា,388,283
សម្ភាស,387,278
ស្រឡាញ់,385,244
ប្រពៃណី,385,271
ទំនោរ,382,117
អន្តរកម្ម,381,255
វិជ្ជា,378,315
អ្នក,374,303
នូវ,371,285
ឧត្តម,366,267
លទ្ធផល,364,247
បញ្ជា,364,249
សោមនស្ស,363,270
បារម្ភ,360,281
ហ្នឹង,358,276
ភារកិច្ច,357,307
ពណ៌,356,260
បន្ត,353,241
វិនិយោគ,350,265
អំឡុង,350,247
ចន្ទ,349,216
ឥទ្ធិពល,349,256
គតិយុត្ត,347,245
កាដូ,345,221
ដៃគូ,344,243
កុម៉្មង់,343,242
សង្ហា,342,183
ចួប,341,223
គុណធម៌,341,255
បញ្ជី,340,249
អនុម័ត,340,258
សម្ល,339,220
ទុរេន,338,242
ឧបករណ៍,335,267
សម្បូរ,335,244
សួស្ដី,334,256
កេរ្តិ៍,332,266
បច្ចេកទេស,330,276
ភស្តុតាង,330,228
វិសោធនកម្ម,330,131
បង្ការ,328,217
បរិស្ថាន,327,258
ស្រលាញ់,327,229
សង្គម,327,262
ក្រ,326,237
សន្តាន,326,235
សិទ្ធ,326,255
ពិនិត្យ,325,141
ទេសចរណ៍,324,253
ទិដ្ឋភាព,323,249
ថ្លៃថ្នូរ,321,257
ស្មារតី,320,262
ជោគជ័យ,320,244
ធម្មជាតិ,320,264
អ៊ំ,318,206
មរតក,318,262
អភិរក្ស,316,252
មាតុភូមិ,315,254
សមាគម,314,243
បញ្ហា,313,214
ប្រព្រឹត្តិ,313,173
បេសកកម្ម,311,234
សុបិន,310,228
រាជ,310,197
ព្រះ,309,264
ទុក្ខ,309,264
ការងារ,308,264
ទ្វារ,307,196
ពិភាក្សា,307,217
ញាតិ,306,246
អស្ចារ្យ,305,234
ស្រ,304,255
កញ្ច្រែង,304,38
លក្ខណ,303,232
វិញ្ញាបនបត្រ,303,217
ផ្សព្វផ្សាយ,302,248
គោរព,301,235
អប់រំ,300,227
អធ្យាស្រ័យ,300,219
ជួប,300,232
សំរាម,298,209
